glct-3	T15D6.7	100.000	915	0	0	1	915	1	915	0.0	1651
glct-3	E03H4.12	75.302	745	179	3	166	909	97	837	3.43e-141	506
glct-3	CTROP.Csp11.Scaffold629.g15710.t1	70.188	691	204	2	169	858	76	765	1.46e-82	311
glct-3	CTROP.Csp11.Scaffold629.g15710.t2	70.188	691	204	2	169	858	91	780	1.46e-82	311
glct-3	CBG08282	69.956	689	207	0	169	857	148	836	5.10e-82	310
glct-3	CDOUG.g22659.t2	69.841	693	207	2	167	858	266	957	2.64e-79	301
glct-3	CDOUG.g22659.t1	69.841	693	207	2	167	858	359	1050	2.64e-79	301
glct-3	CBN25400	69.855	690	206	2	169	857	142	830	2.64e-79	300
glct-3	CBN07099	69.899	691	204	4	169	857	142	830	1.12e-77	295
glct-3	CSP26.g3242.t2	68.986	690	214	0	169	858	256	945	2.47e-73	280
glct-3	CSP26.g3242.t1	68.986	690	214	0	169	858	454	1143	2.47e-73	280
glct-3	CSINI.Csp5_scaffold_00329.g9527.t1	68.831	693	210	2	169	858	151	840	3.67e-71	273
glct-3	CLATE.FL83_20457-RA	69.020	694	207	4	169	858	256	945	3.67e-71	273
glct-3	C54C8.5	68.588	694	212	2	165	858	165	852	5.45e-69	266
glct-3	T09E11.1	68.456	745	219	8	170	909	113	846	6.64e-68	263
glct-3	CREMA.FL82_03169-RA	68.391	696	219	1	169	863	277	972	2.32e-67	260
glct-3	CJA03534	68.713	684	206	5	175	854	289	968	3.44e-65	254
glct-3	C47F8.4	68.616	701	202	9	167	858	152	843	1.46e-63	249
glct-3	CSP40.g14082.t1	67.681	690	223	0	169	858	403	1092	7.58e-61	240
glct-3	CSP26.g20541.t1	67.737	685	221	0	174	858	171	855	7.58e-61	240
glct-3	W07G9.2c	67.244	693	221	2	169	858	235	924	5.82e-56	224
glct-3	W07G9.2b	67.244	693	221	2	169	858	307	996	5.82e-56	224
glct-3	W07G9.2a	67.244	693	221	2	169	858	142	831	5.82e-56	224
glct-3	CBG08285	68.110	693	197	13	174	854	24	704	2.48e-54	217
glct-3	CSP28.g12610.t1	66.955	693	221	4	166	854	250	938	4.48e-51	207
glct-3	CCAST.g7818.t1	67.009	682	214	6	178	855	274	948	6.65e-49	199
glct-3	CSP39.g27853.t2	66.857	700	208	9	167	854	254	941	2.32e-48	198
glct-3	CSP39.g27853.t1	66.857	700	208	9	167	854	290	977	2.32e-48	198
glct-3	CVIRI.g10547.t1	66.715	691	223	5	166	854	286	971	2.83e-47	194
glct-3	CKAMA.g3872.t1	67.291	587	190	2	269	854	47	632	4.19e-45	187
glct-3	CNOUR.g5871.t1	66.615	644	202	7	178	816	85	720	9.24e-41	173
glct-3	CNOUR.g5870.t1	65.850	694	225	5	167	854	296	983	9.24e-41	172
glct-3	CLATE.FL83_21414-RA	65.994	694	213	9	175	858	100	780	1.13e-39	168
glct-3	CSP38.g3403.t2	65.693	685	220	5	176	854	263	938	3.93e-39	168
glct-3	CSP38.g3403.t1	65.693	685	220	5	176	854	248	923	3.93e-39	168
glct-3	CSINI.Csp5_scaffold_00329.g9530.t1	65.323	744	232	8	190	908	211	953	3.93e-39	167
glct-3	HBACT.g2708.t1	70.256	390	108	6	469	854	451	836	1.67e-37	161
glct-3	CSP28.g12609.t1	66.276	682	202	14	181	848	295	962	7.10e-36	156
glct-3	CSP31.g5387.t1	65.294	680	231	3	176	854	302	977	2.48e-35	154
glct-3	CBG08283	71.429	287	82	0	571	857	580	866	1.05e-33	149
glct-3	CSP40.g14084.t1	64.869	686	232	3	172	854	169	848	1.28e-32	146
glct-3	CSP40.g14083.t1	65.058	684	228	5	175	854	130	806	4.48e-32	144
glct-3	CSP39.g27852.t1	64.964	685	230	6	176	855	203	882	6.65e-30	136
glct-3	CSINI.Csp5_scaffold_00329.g9529.t1	64.370	682	237	2	176	854	131	809	2.83e-28	132
glct-3	OTIPU.nOt.2.0.1.t06427	64.697	677	228	8	182	854	257	926	1.78e-24	118
glct-3	CSP26.g3243.t1	64.107	638	217	5	175	806	1	632	3.23e-21	107
glct-3	CCAST.g18175.t1	68.641	287	88	2	570	855	123	408	1.13e-20	105
glct-3	CSINI.Csp5_scaffold_01476.g21159.t1	81.818	99	18	0	466	564	238	336	1.67e-18	98.7
glct-3	CCAST.g16160.t1	69.725	218	60	3	475	689	226	440	3.02e-15	88.7
glct-3	CSP26.g3017.t1	79.787	94	19	0	469	562	433	526	3.68e-14	85.1
glct-3	CANGA.Cang_2012_03_13_01133.g15774.t1	79.775	89	18	0	475	563	421	509	4.49e-13	80.6
glct-3	CCAST.g18122.t1	76.415	106	25	0	475	580	442	547	1.57e-12	79.7
glct-3	OTIPU.nOt.2.0.1.t10902	78.652	89	19	0	475	563	502	590	1.91e-11	76.1
glct-3	CCAST.g18176.t1	65.104	384	120	6	475	854	436	809	1.91e-11	75.2
